CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
185597.0273,204560.4383,204663.0036,204975.2422,204951.1934,208012.7849,201260.0597,176966.4546,66.41152,200.1147568,134.495536,0.037292385,0.031657634,0.026513604,59:06.4
185139.4529,204014.1413,204112.5551,204387.7346,204422.4184,207137.0799,201342.1233,176270.1817,68.31254976,199.0524166,132.0241485,0.018587843,0.03507657,0.017018023,59:06.6
185041.1231,203671.0769,203680.843,203940.1662,204062.3594,206541.8091,201408.1865,175783.5724,68.32915264,202.0209139,133.5683384,0.070047672,0.015563437,0.012399871,59:06.8
187877.9536,206076.0474,206021.2441,206285.506,206485.9659,208627.8267,204200.1107,178446.8711,66.30262464,180.759339,155.5349253,0.475316654,0.022605899,0.050810905,59:07.0
192283.4445,209221.1334,208540.0693,208875.3835,209774.1603,211504.7708,207754.3333,182799.6359,61.86489456,158.2662211,182.3303866,0.147414173,0.025595149,0.021858831,59:07.2
193837.9944,209692.3451,208608.8657,209017.7637,210596.8859,212315.867,209047.5991,185366.2924,62.5824808,168.6686579,174.4849154,0.156270596,0.020538522,0.041317277,59:07.4
194779.5934,209137.1184,208103.3624,208530.8194,210485.3477,212416.0469,209281.1876,187070.6834,66.11633056,182.2919314,156.8586387,0.171355518,0.025299252,0.01931831,59:07.6
196091.3469,208928.1262,207891.1889,208293.0672,210316.8772,212398.397,209364.9897,188478.6034,67.63146544,184.8823469,152.2380328,0.071408509,0.022934023,0.024565855,59:07.8
196639.2609,208593.8552,207588.528,207961.6177,209856.523,211934.0416,209099.4438,189066.1901,66.88299296,188.4562389,150.092721,0.035305574,0.006988752,0.006501448,59:08.0
197234.9468,208207.2431,207243.1112,207600.4547,209343.2028,211415.412,208783.4612,189636.5126,66.4493648,188.7283552,148.7902494,0.007161603,0.003401358,0.006527327,59:08.2
197800.1863,207954.31,207018.6409,207360.9157,209034.1809,211059.0195,208586.9772,190173.6256,66.25855376,189.2756398,148.8892563,0.010431126,0.00273388,0.005998032,59:08.4
198352.3215,207745.189,206822.8117,207149.7533,208780.9892,210755.2059,208422.2105,190704.4266,65.55403008,188.422789,150.211871,0.011400361,0.00155859,0.004089345,59:08.7
