CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
88064.19811,100501.8714,108131.636,104156.6461,116536.4142,99561.6822,58981.44438,68194.05092,0.52604272,13.8353264,247.1172659,0.005467759,0.003489737,0.006134262
88016.88014,100433.0106,108063.5142,104087.2233,116485.8731,99531.35866,58989.53963,68171.22212,0.59001264,13.69700976,247.04414,0.005798813,0.003734365,0.005912094
87965.34792,100368.9202,108013.1803,104029.9327,116410.5752,99448.97364,58984.41862,68155.99631,0.75921552,13.5124248,247.1303285,0.005631822,0.004064443,0.005372057
87891.43724,100266.7637,107904.6798,103922.3149,116322.2383,99380.41899,58993.50305,68140.78119,0.54362224,13.5154768,247.1855086,0.007526348,0.004082021,0.00590184
87792.37243,100152.8861,107800.2642,103812.0767,116196.7428,99236.83824,58986.5864,68108.99521,0.59294256,13.37288736,247.2238418,0.005702134,0.003865224,0.005228014
87705.983,100060.5706,107711.6974,103724.2857,116126.7531,99188.47091,58973.54213,68056.64992,0.70525616,13.47934112,247.1722019,0.00455077,0.003579092,0.005398912
87637.43078,99974.55589,107636.316,103639.7191,116027.3891,99064.24066,58976.71273,68040.48692,0.60417392,13.37557312,247.2505773,0.004350575,0.003326163,0.005705552
87557.54625,99870.15338,107527.19,103528.4375,115935.5683,99000.09717,58975.74223,68004.09036,0.58000208,13.5673608,247.154012,0.00561522,0.0033413,0.005408678
87446.48345,99753.05156,107429.1712,103424.0787,115812.2007,98878.77136,58957.91746,67951.17614,0.52506608,13.59470672,247.04414,0.005143542,0.003347159,0.005314928
87355.5697,99645.03658,107318.884,103312.4863,115713.5787,98801.99852,58941.78171,67891.28186,0.62639248,13.62034352,247.0757587,0.005693345,0.004027333,0.005245104
87311.83677,99621.15254,107309.4023,103295.5022,115682.165,98717.62282,58926.39835,67857.35176,0.589036,13.52365616,247.0752704,0.005571275,0.003695303,0.006339828
87189.17311,99431.42608,107107.9653,103096.489,115502.9312,98633.5345,58918.84932,67810.25122,0.5682824,13.7712344,247.1106736,0.005689927,0.003436026,0.005181627
87097.72543,99352.33206,107044.0243,103026.3139,115412.2483,98511.88539,58886.59497,67742.84049,0.6964664,13.57297648,247.1743994,0.005181139,0.003888174,0.005892563
